loss,mae,val_loss,val_mae
0.3612605333328247,0.4555879533290863,0.21023739874362946,0.3686445355415344
0.12249722331762314,0.279764860868454,0.1227431446313858,0.2771541476249695
0.11676233261823654,0.27127811312675476,0.18600402772426605,0.3390515148639679
0.10549362748861313,0.259348064661026,0.13290461897850037,0.2897290885448456
0.10436300188302994,0.25385069847106934,0.1569424271583557,0.30935797095298767
0.11163817346096039,0.2679848074913025,0.1300150603055954,0.28634288907051086
0.10652241110801697,0.2597706913948059,0.11107473075389862,0.26494982838630676
0.1035001128911972,0.256686270236969,0.1346348077058792,0.28956690430641174
0.10662704706192017,0.26094958186149597,0.11050195246934891,0.26865440607070923
0.10915717482566833,0.26048681139945984,0.10138774663209915,0.25497186183929443
0.10253804922103882,0.2550138831138611,0.11395697295665741,0.27078989148139954
0.10215316712856293,0.255188912153244,0.10642683506011963,0.2636078894138336
0.1022515669465065,0.25734224915504456,0.11772512644529343,0.27343496680259705
0.10193902999162674,0.255456805229187,0.11046488583087921,0.2675885558128357
0.09914867579936981,0.25049254298210144,0.11048450320959091,0.264767587184906
0.1035715863108635,0.2528996467590332,0.10252341628074646,0.2574830651283264
0.09898310899734497,0.2478717863559723,0.0998041033744812,0.25118306279182434
0.09908371418714523,0.25081926584243774,0.10016781836748123,0.25370386242866516
0.09822014719247818,0.2490704208612442,0.12536822259426117,0.2821314036846161
0.09955257177352905,0.25252291560173035,0.11555519700050354,0.27265700697898865
0.09881585091352463,0.2534434497356415,0.110190249979496,0.26514866948127747
0.09693114459514618,0.24765068292617798,0.11094122380018234,0.2632949948310852
0.10292984545230865,0.25506970286369324,0.12408944964408875,0.2803022265434265
0.10242766886949539,0.25534677505493164,0.1232665628194809,0.27931493520736694
0.09693463891744614,0.24756798148155212,0.10251963138580322,0.25603923201560974
0.0963500589132309,0.24864421784877777,0.11502339690923691,0.270315021276474
0.10079709440469742,0.25531908869743347,0.12025371193885803,0.2756167948246002
